local_name,geo_lat,geo_lng,country,province,gmt,full_text
al ahmadi,29.0769448,48.08377274,Kuwait,Al Ahmadi,3,al ahmadi - Al Ahmadi - Kuwait
al jahra,29.33747154,47.6580623,Kuwait,Al Jahrah,3,al jahra - Al Jahrah - Kuwait
kuwait,29.36971763,47.97830115,Kuwait,Al Kuwayt,3,kuwait - Al Kuwayt - Kuwait
hawalli,29.33334002,47.99999756,Kuwait,Hawalli,3,hawalli - Hawalli - Kuwait
tokmak,42.82987795,75.28459306,Kyrgyzstan,Bishkek,6,tokmak - Bishkek - Kyrgyzstan
kara balta,42.83062726,73.88566036,Kyrgyzstan,Bishkek,6,kara balta - Bishkek - Kyrgyzstan
bishkek,42.87307945,74.58520422,Kyrgyzstan,Bishkek,6,bishkek - Bishkek - Kyrgyzstan
kok yangak,41.03071128,73.20575354,Kyrgyzstan,Jalal-Abad,6,kok yangak - Jalal-Abad - Kyrgyzstan
jalal abad,40.94288719,73.00251013,Kyrgyzstan,Jalal-Abad,6,jalal abad - Jalal-Abad - Kyrgyzstan
toktogul,41.88257143,72.93719112,Kyrgyzstan,Jalal-Abad,6,toktogul - Jalal-Abad - Kyrgyzstan
tash komur,41.34185508,72.23144608,Kyrgyzstan,Jalal-Abad,6,tash komur - Jalal-Abad - Kyrgyzstan
naryn,41.42634605,75.99106156,Kyrgyzstan,Naryn,6,naryn - Naryn - Kyrgyzstan
at bashy,41.17248557,75.79680985,Kyrgyzstan,Naryn,6,at bashy - Naryn - Kyrgyzstan
osh,40.54040529,72.79001664,Kyrgyzstan,Osh,6,osh - Osh - Kyrgyzstan
talas,42.51837242,72.24291825,Kyrgyzstan,Talas,6,talas - Talas - Kyrgyzstan
cholpon ata,42.65133588,77.08107255,Kyrgyzstan,Ysyk-K?l,6,cholpon ata - Ysyk-K?l - Kyrgyzstan
balykchy,42.4560248,76.18536495,Kyrgyzstan,Ysyk-K?l,6,balykchy - Ysyk-K?l - Kyrgyzstan
karakol,42.49204327,78.38182003,Kyrgyzstan,Ysyk-K?l,6,karakol - Ysyk-K?l - Kyrgyzstan
attapu,14.8079971,106.8390005,Laos,Attapu,0,attapu - Attapu - Laos
ban houayxay,20.2775,100.4127778,Laos,Bokeo,0,ban houayxay - Bokeo - Laos
champasak,14.88330011,105.8667036,Laos,Champasak,0,champasak - Champasak - Laos
pakxe,15.12206016,105.8183365,Laos,Champasak,0,pakxe - Champasak - Laos
xam nua,20.41669802,104.0333047,Laos,Houaphan,0,xam nua - Houaphan - Laos
thakhek,17.41119692,104.8361226,Laos,Khammouan,0,thakhek - Khammouan - Laos
louang namtha,20.95000205,101.4166986,Laos,Louang Namtha,0,louang namtha - Louang Namtha - Laos
louangphrabang,19.88453432,102.1416101,Laos,Louangphrabang,0,louangphrabang - Louangphrabang - Laos
phongsali,21.68330399,102.0999967,Laos,Ph?ngsali,0,phongsali - Ph?ngsali - Laos
saravan,15.715998,106.4269987,Laos,Saravan,0,saravan - Saravan - Laos
savannakhet,16.53758099,104.772974,Laos,Savannakh?t,0,savannakhet - Savannakh?t - Laos
vientiane,17.96669273,102.59998,Laos,Vientiane [prefecture],0,vientiane - Vientiane [prefecture] - Laos
xaignabouri,19.2504645,101.7500577,Laos,Xaignabouri,0,xaignabouri - Xaignabouri - Laos
xiangkhoang,19.33368939,103.3665999,Laos,Xiangkhoang,0,xiangkhoang - Xiangkhoang - Laos
daugavpils,55.87995994,26.50999914,Latvia,Daugavpils,2,daugavpils - Daugavpils - Latvia
jelgava,56.65270347,23.71280554,Latvia,Jelgava,2,jelgava - Jelgava - Latvia
rezekne,56.50002545,27.3165649,Latvia,Latgale,2,rezekne - Latgale - Latvia
liepaga,56.50997316,21.01002478,Latvia,Liepaja,2,liepaga - Liepaja - Latvia
riga,56.95002382,24.09996537,Latvia,Riga,2,riga - Riga - Latvia
ventspils,57.38986778,21.56058549,Latvia,Ventspils,2,ventspils - Ventspils - Latvia
nabatiye et tahta,33.38330402,35.45000164,Lebanon,An Nabatiyah,2,nabatiye et tahta - An Nabatiyah - Lebanon
beirut,33.87197512,35.50970821,Lebanon,Beirut,2,beirut - Beirut - Lebanon
b'abda,33.83330406,35.53329652,Lebanon,Mount Lebanon,2,b'abda - Mount Lebanon - Lebanon
zahle,33.85011599,35.90415442,Lebanon,Mount Lebanon,2,zahle - Mount Lebanon - Lebanon
trablous,34.42000368,35.8699963,Lebanon,North Lebanon,2,trablous - North Lebanon - Lebanon
saida,33.56302757,35.36878658,Lebanon,South Lebanon,2,saida - South Lebanon - Lebanon
teyateyaneng,-29.1529979,27.75300351,Lesotho,Berea,2,teyateyaneng - Berea - Lesotho
hlotse,-28.8780029,28.05599764,Lesotho,Leribe,2,hlotse - Leribe - Lesotho
butha-buthe,-28.7499959,28.25000158,Lesotho,Leribe,2,butha-buthe - Leribe - Lesotho
mafetang,-29.8166438,27.25000565,Lesotho,Mafeteng,2,mafetang - Mafeteng - Lesotho
maseru,-29.3166743,27.48327307,Lesotho,Maseru,2,maseru - Maseru - Lesotho
mohales hoek,-30.1589999,27.47999751,Lesotho,Mohale's Hoek,2,mohales hoek - Mohale's Hoek - Lesotho
mokhotlong,-29.291004,29.07800155,Lesotho,Mokhotlong,2,mokhotlong - Mokhotlong - Lesotho
moyeni,-30.4109999,27.71600451,Lesotho,Quthing,2,moyeni - Quthing - Lesotho
gbarnga,7.010410582,-9.48999983,Liberia,Bong,0,gbarnga - Bong - Liberia
buchanan,5.916084614,-10.0524719,Liberia,Grand Bassa,0,buchanan - Grand Bassa - Liberia
